"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 11:37:48 GMT 2022","Tue Oct 11 11:37:49 GMT 2022","1772","","Blog page","","","","The page should contain the header ""Resource Hub""",""
"passed","Tue Oct 11 11:37:53 GMT 2022","Tue Oct 11 11:37:56 GMT 2022","2934","","Blog page","","","","Contain header ""VoIP | Complete Guide to Voice over Internet Protocol"", after click ""VoIP Guide"" (example #2)",""
"passed","Tue Oct 11 11:38:02 GMT 2022","Tue Oct 11 11:38:04 GMT 2022","2584","","Blog page","","","","Contain header ""IoT | Complete Guide to the Internet of Things"", after click ""IoT Guide"" (example #5)",""
"passed","Tue Oct 11 11:38:04 GMT 2022","Tue Oct 11 11:38:07 GMT 2022","2650","","Blog page","","","","Contain header ""Two-Factor Authentication | Complete Guide to 2FA"", after click ""Two-Factor Authentication Guide"" (example #6)",""
"passed","Tue Oct 11 11:39:06 GMT 2022","Tue Oct 11 11:39:10 GMT 2022","4124","","Main page","","","","See Documentation page, after click on ""Developer Docs""",""
"passed","Tue Oct 11 11:37:56 GMT 2022","Tue Oct 11 11:37:59 GMT 2022","2763","","Blog page","","","","Contain header ""SIP Trunking | Complete Guide to Session Initiation Protocol"", after click ""SIP Trunk Guide"" (example #3)",""
"passed","Tue Oct 11 11:38:54 GMT 2022","Tue Oct 11 11:38:59 GMT 2022","4431","","Main page","","","","Show Contact page after click on ""Talk to an expert",""
"passed","Tue Oct 11 11:39:02 GMT 2022","Tue Oct 11 11:39:05 GMT 2022","3245","","Main page","","","","Show right href, after move to Pricing",""
"passed","Tue Oct 11 11:39:18 GMT 2022","Tue Oct 11 11:39:24 GMT 2022","5616","","Main page","","","","See Twitter page, after click on ""Follow on Twitter""",""
"passed","Tue Oct 11 11:39:31 GMT 2022","Tue Oct 11 11:39:36 GMT 2022","4911","","Sign Up page","","","","Registration with correct credentials",""
"passed","Tue Oct 11 11:37:59 GMT 2022","Tue Oct 11 11:38:01 GMT 2022","2714","","Blog page","","","","Contain header ""WebRTC | Complete Guide to Web Real-Time Communication"", after click ""WebRTC Guide"" (example #4)",""
"passed","Tue Oct 11 11:38:23 GMT 2022","Tue Oct 11 11:38:31 GMT 2022","8641","","Contact Us page","","","","Fill out the ""contact us"" form (example #1)",""
"passed","Tue Oct 11 11:39:10 GMT 2022","Tue Oct 11 11:39:14 GMT 2022","4009","","Main page","","","","See Facebook page, after click on ""Follow on Facebook""",""
"passed","Tue Oct 11 11:38:07 GMT 2022","Tue Oct 11 11:38:10 GMT 2022","2515","","Blog page","","","","Contain header ""Fax | Complete Guide to Fax"", after click ""Fax Guide"" (example #7)",""
"passed","Tue Oct 11 11:39:28 GMT 2022","Tue Oct 11 11:39:31 GMT 2022","3335","","Sign Up page","","","","Registration with empty credentials",""
"passed","Tue Oct 11 11:38:46 GMT 2022","Tue Oct 11 11:38:49 GMT 2022","3103","","Main page","","","","See Sign up page, after click on ""Sign up""",""
"passed","Tue Oct 11 11:38:32 GMT 2022","Tue Oct 11 11:38:40 GMT 2022","8718","","Contact Us page","","","","Fill out the ""contact us"" form (example #2)",""
"passed","Tue Oct 11 11:38:49 GMT 2022","Tue Oct 11 11:38:54 GMT 2022","4794","","Main page","","","","Show email on register page, after enter email on main page",""
"passed","Tue Oct 11 11:38:59 GMT 2022","Tue Oct 11 11:39:02 GMT 2022","3419","","Main page","","","","Show right href, after move to Products",""
"passed","Tue Oct 11 11:38:10 GMT 2022","Tue Oct 11 11:38:13 GMT 2022","3111","","Blog page","","","","Contain header ""SHAKEN/STIR | Complete Guide to Combatting Illegal Robocalls"", after click ""SHAKEN/STIR Guide"" (example #8)",""
"passed","Tue Oct 11 11:39:14 GMT 2022","Tue Oct 11 11:39:18 GMT 2022","4515","","Main page","","","","See LinkedIn page, after click on ""Connect on LinkedIn""",""
"passed","Tue Oct 11 11:37:49 GMT 2022","Tue Oct 11 11:37:53 GMT 2022","3307","","Blog page","","","","Contain header ""SMS | Complete Guide to Sending Text Messages"", after click ""SMS Guide"" (example #1)",""
"passed","Tue Oct 11 11:38:44 GMT 2022","Tue Oct 11 11:38:46 GMT 2022","2172","","Main page","","","","See all button menu on the main page",""
"passed","Tue Oct 11 11:38:16 GMT 2022","Tue Oct 11 11:38:23 GMT 2022","6484","","Contact Us page","","","","Form ""contact us"" with empty credentials",""
